"Población de 16 y más años ocupada de la C.A. de Euskadi por ámbitos territoriales, rama de actividad y periodo"

"ámbitos territoriales";"rama de actividad";"periodo";Población de 16 y más años ocupada de la C.A. de Euskadi
"Arabako Ibarrak / Valles Alaveses";"Alquiler, inmobiliarias y servicios a empresas";"1996";66
"Arabako Ibarrak / Valles Alaveses";"Alquiler, inmobiliarias y servicios a empresas";"2001";98
"Arabako Ibarrak / Valles Alaveses";"Alquiler, inmobiliarias y servicios a empresas";"2006";230
"Arabako Ibarrak / Valles Alaveses";"Alquiler, inmobiliarias y servicios a empresas";"2011";264
"Arabako Ibarrak / Valles Alaveses";"Alquiler, inmobiliarias y servicios a empresas";"2016";287
"Arabako Ibarrak / Valles Alaveses";"Administración pública";"1996";120
"Arabako Ibarrak / Valles Alaveses";"Administración pública";"2001";183
"Arabako Ibarrak / Valles Alaveses";"Administración pública";"2006";177
"Arabako Ibarrak / Valles Alaveses";"Administración pública";"2011";160
"Arabako Ibarrak / Valles Alaveses";"Administración pública";"2016";173
"Arabako Ibarrak / Valles Alaveses";"Educación";"1996";50
"Arabako Ibarrak / Valles Alaveses";"Educación";"2001";74
"Arabako Ibarrak / Valles Alaveses";"Educación";"2006";84
"Arabako Ibarrak / Valles Alaveses";"Educación";"2011";83
